locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBHGPHIL_01102	CDS	1674	rpsA		COG0539	30S ribosomal protein S1
MBHGPHIL_01103	CDS	285	ihfB		COG0776	Integration host factor subunit beta
MBHGPHIL_01104	CDS	2265				hypothetical protein
MBHGPHIL_01105	CDS	1749	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
MBHGPHIL_01106	CDS	978	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
MBHGPHIL_01107	CDS	1233				hypothetical protein
MBHGPHIL_01108	CDS	183				hypothetical protein
MBHGPHIL_01109	CDS	747	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
MBHGPHIL_01110	CDS	894				hypothetical protein
MBHGPHIL_01111	CDS	777				hypothetical protein
MBHGPHIL_01112	CDS	804	cmoM	2.1.1.-	COG0500	tRNA 5-carboxymethoxyuridine methyltransferase
MBHGPHIL_01113	CDS	1323	mukF		COG3006	Chromosome partition protein MukF
MBHGPHIL_01114	CDS	705	mukE		COG3095	Chromosome partition protein MukE
MBHGPHIL_01115	CDS	4467	mukB		COG3096	Chromosome partition protein MukB
MBHGPHIL_01116	CDS	1842	ycbB	2.-.-.-	COG2989	putative L,D-transpeptidase YcbB
MBHGPHIL_01117	CDS	549				hypothetical protein
MBHGPHIL_01118	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
MBHGPHIL_01119	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
MBHGPHIL_01120	CDS	1092	ompF		COG3203	Outer membrane porin F
MBHGPHIL_01121	CDS	153				hypothetical protein
MBHGPHIL_01122	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
MBHGPHIL_01123	CDS	462	lrp_2		COG1522	Leucine-responsive regulatory protein
MBHGPHIL_01124	CDS	1215	dpaL	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
MBHGPHIL_01125	CDS	1437	alsT_1		COG1115	Amino-acid carrier protein AlsT
MBHGPHIL_01126	CDS	1203	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
MBHGPHIL_01127	CDS	1293	intQ		COG0582	Putative defective protein IntQ
MBHGPHIL_01128	CDS	249				hypothetical protein
MBHGPHIL_01129	CDS	240				hypothetical protein
MBHGPHIL_01130	CDS	1110				hypothetical protein
MBHGPHIL_01131	CDS	2928				hypothetical protein
MBHGPHIL_01132	CDS	144				hypothetical protein
MBHGPHIL_01133	CDS	1590	purH		COG0138	Bifunctional purine biosynthesis protein PurH
MBHGPHIL_01134	CDS	1290	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
MBHGPHIL_01135	CDS	1326	zraR		COG2204	Transcriptional regulatory protein ZraR
MBHGPHIL_01136	CDS	1587	zraS	2.7.13.3		Sensor protein ZraS
MBHGPHIL_01137	CDS	456	zraP		COG3678	Zinc resistance-associated protein
MBHGPHIL_01138	CDS	693				hypothetical protein
MBHGPHIL_01139	CDS	273	hupA			DNA-binding protein HU-alpha
MBHGPHIL_01140	CDS	591			COG3068	putative protein
MBHGPHIL_01141	CDS	672	nfi	3.1.21.7	COG1515	Endonuclease V
MBHGPHIL_01142	CDS	1065	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
MBHGPHIL_01143	CDS	774	nudC	3.6.1.22	COG2816	NADH pyrophosphatase
MBHGPHIL_01144	CDS	489	rsd		COG3160	Regulator of sigma D
MBHGPHIL_01145	CDS	1896	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
MBHGPHIL_01146	CDS	636	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
MBHGPHIL_01147	CDS	759	thiF	2.7.7.73	COG0476	Sulfur carrier protein ThiS adenylyltransferase
MBHGPHIL_01148	CDS	174	thiS		COG2104	Sulfur carrier protein ThiS
MBHGPHIL_01149	CDS	771	thiG	2.8.1.10	COG2022	Thiazole synthase
MBHGPHIL_01150	CDS	1134	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
MBHGPHIL_01151	CDS	1011				hypothetical protein
MBHGPHIL_01152	CDS	138				hypothetical protein
MBHGPHIL_01153	CDS	279				hypothetical protein
MBHGPHIL_01154	CDS	4224	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
MBHGPHIL_01155	CDS	4029	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
MBHGPHIL_01156	CDS	366	rplL		COG0222	50S ribosomal protein L7/L12
MBHGPHIL_01157	CDS	498	rplJ		COG0244	50S ribosomal protein L10
MBHGPHIL_01158	CDS	705	rplA		COG0081	50S ribosomal protein L1
MBHGPHIL_01159	CDS	429	rplK		COG0080	50S ribosomal protein L11
MBHGPHIL_01160	CDS	546	nusG		COG0250	Transcription termination/antitermination protein NusG
MBHGPHIL_01161	CDS	384	secE		COG0690	Protein translocase subunit SecE
MBHGPHIL_01162	CDS	891	tuf1_1			Elongation factor Tu 1
MBHGPHIL_01163	CDS	561	torD_2			Chaperone protein TorD
MBHGPHIL_01164	CDS	2280	ynfE_1	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
MBHGPHIL_01165	CDS	558	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
MBHGPHIL_01166	CDS	768				hypothetical protein
MBHGPHIL_01167	CDS	429	uspG		COG0589	Universal stress protein UP12
MBHGPHIL_01168	CDS	1239		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
MBHGPHIL_01169	CDS	411	rnk		COG0782	Regulator of nucleoside diphosphate kinase
MBHGPHIL_01170	CDS	297	rna_1	4.6.1.21	COG3719	Ribonuclease I
MBHGPHIL_01171	CDS	489	rna_2	4.6.1.21	COG3719	Ribonuclease I
MBHGPHIL_01172	CDS	1464	ttdT		COG0471	L-tartrate/succinate antiporter
MBHGPHIL_01173	CDS	897	citG_2	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
MBHGPHIL_01174	CDS	552	citX_1	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
MBHGPHIL_01175	CDS	1530	citF_1	4.1.3.6	COG3051	Citrate lyase alpha chain
MBHGPHIL_01176	CDS	909	citE_1	4.1.3.6	COG2301	Citrate lyase subunit beta
MBHGPHIL_01177	CDS	297	citD_1		COG3052	Citrate lyase acyl carrier protein
MBHGPHIL_01178	CDS	1077	citC_1	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
MBHGPHIL_01179	CDS	1662	dpiB	2.7.13.3	COG3290	Sensor histidine kinase DpiB
MBHGPHIL_01180	CDS	681	dpiA		COG4565	Transcriptional regulatory protein DpiA
MBHGPHIL_01181	CDS	1386	dcuD		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
MBHGPHIL_01182	CDS	573	pagP	2.3.1.251		Lipid A palmitoyltransferase PagP
MBHGPHIL_01183	CDS	210	cspE			Cold shock-like protein CspE
MBHGPHIL_01184	CDS	384	crcB		COG0239	Putative fluoride ion transporter CrcB
MBHGPHIL_01185	CDS	789	ybeM	3.5.1.128		Deaminated glutathione amidase
MBHGPHIL_01186	CDS	204	tatE		COG1826	Sec-independent protein translocase protein TatE
MBHGPHIL_01187	CDS	966	lipA	2.8.1.8	COG0320	Lipoyl synthase
MBHGPHIL_01188	CDS	954	ybdO_1			putative HTH-type transcriptional regulator YbdO
MBHGPHIL_01189	CDS	642	lipB	2.3.1.181	COG0321	Octanoyltransferase
MBHGPHIL_01190	CDS	264				hypothetical protein
MBHGPHIL_01191	CDS	1212	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
MBHGPHIL_01192	CDS	1146	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
MBHGPHIL_01193	CDS	1113	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
MBHGPHIL_01194	CDS	1902	mrdA_2	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
MBHGPHIL_01195	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
MBHGPHIL_01196	CDS	318	rsfS		COG0799	Ribosomal silencing factor RsfS
MBHGPHIL_01197	CDS	609	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
MBHGPHIL_01198	CDS	1095	cobD_1	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
MBHGPHIL_01199	CDS	651	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
MBHGPHIL_01200	CDS	1032	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
MBHGPHIL_01201	CDS	591	lptE		COG2980	LPS-assembly lipoprotein LptE
MBHGPHIL_01202	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
MBHGPHIL_01203	CDS	291	uxaA	4.2.1.7	COG2721	Altronate dehydratase
MBHGPHIL_01204	CDS	1251	suyB	4.4.1.24		(2R)-sulfolactate sulfo-lyase subunit beta
MBHGPHIL_01205	CDS	954	kdgT_1			2-keto-3-deoxygluconate permease
MBHGPHIL_01206	CDS	1929	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
MBHGPHIL_01207	CDS	474				hypothetical protein
MBHGPHIL_01208	CDS	996	esiB			Secretory immunoglobulin A-binding protein EsiB
MBHGPHIL_01209	CDS	708				hypothetical protein
MBHGPHIL_01210	CDS	1434				hypothetical protein
MBHGPHIL_01211	CDS	630				hypothetical protein
MBHGPHIL_01212	CDS	1473				hypothetical protein
MBHGPHIL_01213	CDS	1680	hscC		COG0443	Chaperone protein HscC
MBHGPHIL_01214	CDS	1239				hypothetical protein
MBHGPHIL_01215	CDS	936	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
MBHGPHIL_01216	CDS	726	glnQ_1			Glutamine transport ATP-binding protein GlnQ
MBHGPHIL_01217	CDS	675	gltK		COG0765	Glutamate/aspartate import permease protein GltK
MBHGPHIL_01218	CDS	741	gltJ		COG0765	Glutamate/aspartate import permease protein GltJ
MBHGPHIL_01219	CDS	909	gltI		COG0834	Glutamate/aspartate import solute-binding protein
MBHGPHIL_01220	CDS	1590	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
MBHGPHIL_01221	CDS	879	corC		COG4535	Magnesium and cobalt efflux protein CorC
MBHGPHIL_01222	CDS	474	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
MBHGPHIL_01223	CDS	1047	ybeZ		COG1702	PhoH-like protein
MBHGPHIL_01224	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
MBHGPHIL_01225	CDS	1176	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
MBHGPHIL_01226	CDS	576				hypothetical protein
MBHGPHIL_01227	tRNA	75				tRNA-Gln(ctg)
MBHGPHIL_01228	tRNA	75				tRNA-Gln(ctg)
MBHGPHIL_01229	tRNA	77				tRNA-Met(cat)
MBHGPHIL_01230	tRNA	75				tRNA-Gln(ttg)
MBHGPHIL_01231	tRNA	75				tRNA-Gln(ttg)
MBHGPHIL_01232	tRNA	85				tRNA-Leu(tag)
MBHGPHIL_01233	tRNA	77				tRNA-Met(cat)
MBHGPHIL_01234	CDS	1665	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
MBHGPHIL_01235	CDS	753	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
MBHGPHIL_01236	CDS	1221	nagC		COG1940	N-acetylglucosamine repressor
MBHGPHIL_01237	CDS	1215	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
MBHGPHIL_01238	CDS	801	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
MBHGPHIL_01239	CDS	1953	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
MBHGPHIL_01240	CDS	1668	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
MBHGPHIL_01241	CDS	1407	chiP			Chitoporin
MBHGPHIL_01242	CDS	333	chiQ			putative lipoprotein ChiQ
MBHGPHIL_01243	CDS	1305	proP_1			Proline/betaine transporter
MBHGPHIL_01244	CDS	1140				hypothetical protein
MBHGPHIL_01245	CDS	1404	ifcA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
MBHGPHIL_01246	CDS	927	catM			HTH-type transcriptional regulator CatM
MBHGPHIL_01247	CDS	453	fur		COG0735	Ferric uptake regulation protein
MBHGPHIL_01248	CDS	531	fldA		COG0716	Flavodoxin 1
MBHGPHIL_01249	CDS	282	ybfE			putative protein YbfE
MBHGPHIL_01250	CDS	771	ybfF	3.1.-.-	COG0596	Esterase YbfF
MBHGPHIL_01251	CDS	543	seqA		COG3057	Negative modulator of initiation of replication
MBHGPHIL_01252	CDS	1641	pgm	5.4.2.2	COG0033	Phosphoglucomutase
MBHGPHIL_01253	CDS	486				hypothetical protein
MBHGPHIL_01254	CDS	1320	potE		COG0531	Putrescine transporter PotE
MBHGPHIL_01255	CDS	2199	speF	4.1.1.17	COG1982	Inducible ornithine decarboxylase
MBHGPHIL_01256	CDS	105				hypothetical protein
MBHGPHIL_01257	CDS	678	kdpE		COG0745	KDP operon transcriptional regulatory protein KdpE
MBHGPHIL_01258	CDS	2685	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
MBHGPHIL_01259	CDS	585	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
MBHGPHIL_01260	CDS	2049	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
MBHGPHIL_01261	CDS	1680	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
MBHGPHIL_01262	CDS	207				hypothetical protein
MBHGPHIL_01263	CDS	1422	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
MBHGPHIL_01264	CDS	1482	dtpD		COG3104	Dipeptide permease D
MBHGPHIL_01265	CDS	744	ybgI		COG0327	GTP cyclohydrolase 1 type 2 
MBHGPHIL_01266	CDS	657	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
MBHGPHIL_01267	CDS	933	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
MBHGPHIL_01268	CDS	735	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
MBHGPHIL_01269	CDS	567				ISKra4 family transposase ISCep1
MBHGPHIL_01270	CDS	222				hypothetical protein
MBHGPHIL_01271	CDS	741				hypothetical protein
MBHGPHIL_01272	CDS	1152	rfbD_1	5.4.99.9		UDP-galactopyranose mutase
MBHGPHIL_01273	CDS	894				hypothetical protein
MBHGPHIL_01274	CDS	1134	pglA	2.4.1.290		N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
MBHGPHIL_01275	CDS	771				hypothetical protein
MBHGPHIL_01276	CDS	711	tagH	7.5.2.4	COG1134	Teichoic acids export ATP-binding protein TagH
MBHGPHIL_01277	CDS	1779				hypothetical protein
MBHGPHIL_01278	CDS	834				hypothetical protein
MBHGPHIL_01279	CDS	1950				hypothetical protein
MBHGPHIL_01280	CDS	138				hypothetical protein
MBHGPHIL_01281	CDS	792	nei	3.2.2.-	COG0266	Endonuclease 8
MBHGPHIL_01282	CDS	1047				hypothetical protein
MBHGPHIL_01283	CDS	1284	gltA	2.3.3.16	COG0372	Citrate synthase
MBHGPHIL_01284	CDS	246				hypothetical protein
MBHGPHIL_01285	CDS	405	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
MBHGPHIL_01286	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
MBHGPHIL_01287	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
MBHGPHIL_01288	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
MBHGPHIL_01289	CDS	2802	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
MBHGPHIL_01290	CDS	1209	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
MBHGPHIL_01291	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
MBHGPHIL_01292	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
MBHGPHIL_01293	CDS	126				hypothetical protein
MBHGPHIL_01294	CDS	1569	cydA	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
MBHGPHIL_01295	CDS	1140	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
MBHGPHIL_01296	CDS	114	cydX	7.1.1.7	COG4890	Cytochrome bd-I ubiquinol oxidase subunit X
MBHGPHIL_01297	CDS	282				hypothetical protein
MBHGPHIL_01298	CDS	405	ybgC	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
MBHGPHIL_01299	CDS	693	tolQ		COG0811	Tol-Pal system protein TolQ
MBHGPHIL_01300	CDS	429	tolR		COG0848	Tol-Pal system protein TolR
MBHGPHIL_01301	CDS	1224				hypothetical protein
MBHGPHIL_01302	CDS	1293	tolB		COG0823	Tol-Pal system protein TolB
MBHGPHIL_01303	CDS	525	pal_1		COG2885	Peptidoglycan-associated lipoprotein
MBHGPHIL_01304	CDS	789	cpoB		COG1729	Cell division coordinator CpoB
MBHGPHIL_01305	tRNA	76				tRNA-Lys(ttt)
MBHGPHIL_01306	tRNA	76				tRNA-Val(tac)
MBHGPHIL_01307	tRNA	76				tRNA-Lys(ttt)
MBHGPHIL_01308	tRNA	76				tRNA-Lys(ttt)
MBHGPHIL_01309	CDS	1044	nadA	2.5.1.72	COG0379	Quinolinate synthase A
MBHGPHIL_01310	CDS	720	pnuC		COG3201	Nicotinamide riboside transporter PnuC
MBHGPHIL_01311	CDS	939	zitB		COG1230	Zinc transporter ZitB
MBHGPHIL_01312	CDS	387				hypothetical protein
MBHGPHIL_01313	CDS	1053	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
MBHGPHIL_01314	CDS	546	fumB_1	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
MBHGPHIL_01315	CDS	846	ttdA_2	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
MBHGPHIL_01316	CDS	891	cynR			HTH-type transcriptional regulator CynR
MBHGPHIL_01317	CDS	927	yjiE_1			HTH-type transcriptional regulator YjiE
MBHGPHIL_01318	CDS	1269				hypothetical protein
MBHGPHIL_01319	CDS	246	oadG_2	7.2.4.2	COG3630	Oxaloacetate decarboxylase gamma chain
MBHGPHIL_01320	CDS	1776	oadA_1	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
MBHGPHIL_01321	CDS	330				hypothetical protein
MBHGPHIL_01322	CDS	375				hypothetical protein
MBHGPHIL_01323	CDS	558	dsbE_3		COG0526	Thiol:disulfide interchange protein DsbE
MBHGPHIL_01324	CDS	1932	ccmF_3		COG1138	Cytochrome c-type biogenesis protein CcmF
MBHGPHIL_01325	CDS	480	ccmE_3		COG2332	Cytochrome c-type biogenesis protein CcmE
MBHGPHIL_01326	CDS	213	ccmD_3		COG3114	Heme exporter protein D
MBHGPHIL_01327	CDS	738	ccmC_3		COG0755	Heme exporter protein C
MBHGPHIL_01328	CDS	657	ccmB_3		COG2386	Heme exporter protein B
MBHGPHIL_01329	CDS	618	ccmA_3	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
MBHGPHIL_01330	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
MBHGPHIL_01331	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
MBHGPHIL_01332	CDS	870	napH		COG0348	Ferredoxin-type protein NapH
MBHGPHIL_01333	CDS	696	napG		COG1145	Ferredoxin-type protein NapG
MBHGPHIL_01334	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
MBHGPHIL_01335	CDS	264	napD		COG3062	Chaperone NapD
MBHGPHIL_01336	CDS	492	napF_2		COG1145	Ferredoxin-type protein NapF
MBHGPHIL_01337	CDS	132				hypothetical protein
MBHGPHIL_01338	CDS	507	eco		COG4574	Ecotin
MBHGPHIL_01339	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
MBHGPHIL_01340	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
MBHGPHIL_01341	CDS	1059	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
MBHGPHIL_01342	CDS	1053	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
MBHGPHIL_01343	CDS	1137	ompC_1		COG3203	Outer membrane porin C
MBHGPHIL_01344	CDS	2670	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
MBHGPHIL_01345	CDS	651	rcsB		COG2197	Transcriptional regulatory protein RcsB
MBHGPHIL_01346	CDS	2847	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
MBHGPHIL_01347	CDS	2637	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
MBHGPHIL_01348	CDS	1203	rspA_1	4.2.1.-	COG4948	D-galactonate dehydratase family member RspA
MBHGPHIL_01349	CDS	1326	ttuB_3			Putative tartrate transporter
MBHGPHIL_01350	CDS	885				hypothetical protein
MBHGPHIL_01351	CDS	729	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
MBHGPHIL_01352	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
MBHGPHIL_01353	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
MBHGPHIL_01354	CDS	255				hypothetical protein
MBHGPHIL_01355	CDS	1218	cntE			Staphylopine export protein
MBHGPHIL_01356	CDS	879	gltC_2			HTH-type transcriptional regulator GltC
MBHGPHIL_01357	CDS	1083	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
MBHGPHIL_01358	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
MBHGPHIL_01359	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
MBHGPHIL_01360	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
MBHGPHIL_01361	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
MBHGPHIL_01362	CDS	1023	sseL	3.4.22.-		Deubiquitinase SseL
MBHGPHIL_01363	CDS	177				hypothetical protein
MBHGPHIL_01364	CDS	804	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
MBHGPHIL_01365	CDS	1290	rhmT			Inner membrane transport protein RhmT
MBHGPHIL_01366	CDS	1206	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
MBHGPHIL_01367	CDS	783	rhmR_2		COG1414	putative HTH-type transcriptional regulator RhmR
MBHGPHIL_01368	CDS	1197	pncC_1	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
MBHGPHIL_01369	CDS	567				hypothetical protein
MBHGPHIL_01370	CDS	426	nudI	3.6.1.9	COG0494	Nucleoside triphosphatase NudI
MBHGPHIL_01371	CDS	216	ais_1	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
MBHGPHIL_01372	CDS	393	ais_2	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
MBHGPHIL_01373	CDS	1140	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
MBHGPHIL_01374	CDS	984	arnC	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
MBHGPHIL_01375	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
MBHGPHIL_01376	CDS	900	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
MBHGPHIL_01377	CDS	1647	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
MBHGPHIL_01378	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
MBHGPHIL_01379	CDS	378	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
MBHGPHIL_01380	CDS	258	pmrD			Signal transduction protein PmrD
MBHGPHIL_01381	CDS	1368	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
MBHGPHIL_01382	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
MBHGPHIL_01383	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
MBHGPHIL_01384	CDS	759	menH_1	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
MBHGPHIL_01385	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
MBHGPHIL_01386	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
MBHGPHIL_01387	CDS	306	elaB		COG4575	Protein ElaB
MBHGPHIL_01388	CDS	462	elaA		COG2153	Protein ElaA
MBHGPHIL_01389	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
MBHGPHIL_01390	CDS	1002	cheV		COG0784	Chemotaxis protein CheV
MBHGPHIL_01391	CDS	1782				hypothetical protein
MBHGPHIL_01392	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
MBHGPHIL_01393	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
MBHGPHIL_01394	CDS	1842	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
MBHGPHIL_01395	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
MBHGPHIL_01396	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
MBHGPHIL_01397	CDS	543	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
MBHGPHIL_01398	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
MBHGPHIL_01399	CDS	2727	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
MBHGPHIL_01400	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
MBHGPHIL_01401	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
MBHGPHIL_01402	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
MBHGPHIL_01403	CDS	663	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
MBHGPHIL_01404	CDS	444	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
MBHGPHIL_01405	CDS	936	hdfR_3			HTH-type transcriptional regulator HdfR
MBHGPHIL_01406	CDS	1215	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
MBHGPHIL_01407	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
MBHGPHIL_01408	CDS	1827				hypothetical protein
